phase,product_name,product_slug,category,version,doc_url,is_archived,zip_url,ga_date,topics_converted,csh_ids_count,api_ref_files,pdf_files,help_type,conversion_date,repo_name,resources_repo_name,retired
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,3.0.3,https://docs.tibco.com/products/tibco-mdm-add-on-for-global-data-synchronization-3-0-3,TRUE,https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-3_documentation.zip,20-Dec,,,,,,,,,FALSE
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,3.0.2,https://docs.tibco.com/products/tibco-mdm-add-on-for-global-data-synchronization-3-0-2,TRUE,https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-2_documentation.zip,18-Mar,,,,,,,,,FALSE
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,3.0.1,https://docs.tibco.com/products/tibco-mdm-add-on-for-global-data-synchronization-3-0-1,TRUE,https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-1_documentation.zip,16-Aug,,,,,,,,,FALSE
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,3.0.0,https://docs.tibco.com/products/tibco-mdm-add-on-for-global-data-synchronization-3-0-0,TRUE,https://docs.tibco.com/pub/cim-gdsn/tibco-mdm-add-on-for-global-data-synchronization-3-0-0_documentation.zip,16-Apr,,,,,,,,,FALSE
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,1.2.1,https://docs.tibco.com/products/tibco-mdm-add-on-for-global-data-synchronization-1-2-1,TRUE,https://docs.tibco.com/pub/mdm-gdsn/tibco-mdm-add-on-for-global-data-synchronization-1-2-1_documentation.zip,2021-12-17T07:59:09.000Z,,,,,,,,,FALSE
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,1.2.0,https://docs.tibco.com/products/tibco-collaborative-information-manager-add-on-for-global-data-synchronization-1-2-0,TRUE,https://docs.tibco.com/pub/collaborative_information_manager_addon_for_global_data_synchronization/tibco-collaborative-information-manager-add-on-for-global-data-synchronization-1-2-0_documentation.zip,11-Jul,,,,,,,,,FALSE
,ibi™ MDM Add-on for Global Data Synchronization,ibi-mdm-add-on-for-global-data-synchronization,Master Data Management,1.1.1,https://docs.tibco.com/products/tibco-collaborative-information-manager-add-on-for-global-data-synchronization-1-1-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-Gen®,ibi-omni-gen,Others,4.3.0,https://docs.tibco.com/products/ibi-omni-gen-4-3-0,FALSE,,,,,,,,,,,FALSE
,ibi™ Omni-Gen®,ibi-omni-gen,Others,4.1.1,https://docs.tibco.com/products/tibco-omni-gen-4-1-1,TRUE,https://docs.tibco.com/pub/og/tibco-omni-gen-4-1-1_documentation.zip,21-Dec,,,,,,,,,FALSE
,ibi™ Omni-Gen®,ibi-omni-gen,Others,4.1.0,https://docs.tibco.com/products/tibco-omni-gen-4-1-0,TRUE,https://docs.tibco.com/pub/og/tibco-omni-gen-4-1-0_documentation.zip,21-Nov,,,,,,,,,FALSE
