reason,product_name,version,doc_url,zip_url
api_no_folder_path,TIBCO Flogo® Connector for Salesforce.com,1.3.3,https://docs.tibco.com/products/tibco-flogo-connector-for-salesforce-com-1-3-3,
api_no_folder_path,TIBCO iProcess® Server Objects (Java),11.9.0,https://docs.tibco.com/products/tibco-iprocess-server-objects-java-11-9-0,https://docs.tibco.com/pub/ip-srvrobj-java/tibco-iprocess-server-objects-java-11-9-0_documentation.zip
api_no_folder_path,TIBCO Scribe®,Online,https://docs.tibco.com/products/tibco-scribe,
api_no_folder_path,TIBCO Spotfire® Capability Matrix,14.8.0,https://docs.tibco.com/products/spotfire-capability-matrix-14-8-0,https://docs.tibco.com/pub/sf-cap-mtx/spotfire-capability-matrix-14-8-0_documentation.zip
api_no_folder_path,TIBCO Spotfire® Capability Matrix,14.7.0,https://docs.tibco.com/products/spotfire-capability-matrix-14-7-0,https://docs.tibco.com/pub/sf-cap-mtx/spotfire-capability-matrix-14-7-0_documentation.zip
api_no_folder_path,TIBCO Spotfire® Capability Matrix,14.6.0,https://docs.tibco.com/products/spotfire-capability-matrix-14-6-0,https://docs.tibco.com/pub/sf-cap-mtx/spotfire-capability-matrix-14-6-0_documentation.zip
api_no_folder_path,TIBCO Spotfire® Capability Matrix,14.5.0,https://docs.tibco.com/products/spotfire-capability-matrix-14-5-0,https://docs.tibco.com/pub/sf-cap-mtx/spotfire-capability-matrix-14-5-0_documentation.zip
api_no_folder_path,TIBCO Spotfire® Capability Matrix,14.1.0,https://docs.tibco.com/products/spotfire-capability-matrix-14-1-0,https://docs.tibco.com/pub/sf-cap-mtx/spotfire-capability-matrix-14-1-0_documentation.zip
api_no_folder_path,TIBCO® Cloud Integration (iPaaS),(iPaaS),https://docs.tibco.com/products/tibco-cloud-integration-ipaas,
api_no_folder_path,TIBCO® Fulfillment Orchestration Suite,1.0.0,https://docs.tibco.com/products/tibco-fulfillment-orchestration-suite-1-0-0,
api_no_folder_path,TIBCO® Health Essentials Cloud,Cloud,https://docs.tibco.com/products/tibco-health-essentials-cloud,https://docs.tibco.com/pub/hec/tibco-health-essentials-cloud_documentation.zip
api_no_folder_path,TIBCO® Managed File Transfer Platform Server for z/Linux,7.2.0,https://docs.tibco.com/products/tibco-managed-file-transfer-platform-server-for-z-linux-7-2-0,https://docs.tibco.com/pub/managed-file-transfer-platform-server-for-zlinux/tibco-managed-file-transfer-platform-server-for-z-linux-7-2-0_documentation.zip
api_no_folder_path,TIBCO® Managed File Transfer Platform Server for z/Linux,7.1.0,https://docs.tibco.com/products/tibco-managed-file-transfer-platform-server-for-z-linux-7-1-0,https://docs.tibco.com/pub/managed-file-transfer-platform-server-for-zlinux/tibco-managed-file-transfer-platform-server-for-z-linux-7-1-0_documentation.zip
