product_name,version,page_count,est_images,doc_names,last_modified,last_modified_year,current_or_legacy,l3_url
TIBCO EBX® Add-ons,4.5.21,4579,3663,,2024-06-03,2024,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-21.xml
TIBCO EBX® Add-ons,4.5.22,4579,3663,,2025-11-11,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-22.xml
TIBCO EBX® Add-ons,4.5.7,4578,3662,,2022-01-19,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-7.xml
TIBCO EBX® Add-ons,4.5.8,4578,3662,,2022-01-25,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-8.xml
TIBCO EBX® Add-ons,4.5.9,4578,3662,,2022-03-17,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-4-5-9.xml
TIBCO EBX® Add-ons,5.3.0,3835,3068,,2022-02-22,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-3-0.xml
TIBCO EBX® Add-ons,5.3.1,3836,3068,,2022-04-01,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-3-1.xml
TIBCO EBX® Add-ons,5.3.2,3836,3068,,2022-04-11,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-3-2.xml
TIBCO EBX® Add-ons,5.3.3,3840,3072,,2022-05-03,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-3-3.xml
TIBCO EBX® Add-ons,5.3.4,3840,3072,,2022-05-19,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-3-4.xml
TIBCO EBX® Add-ons,5.3.5,3840,3072,,2022-06-10,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-3-5.xml
TIBCO EBX® Add-ons,5.4.0,3872,3097,,2022-06-27,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-4-0.xml
TIBCO EBX® Add-ons,5.4.1,3873,3098,,2022-07-29,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-4-1.xml
TIBCO EBX® Add-ons,5.4.2,3873,3098,,2022-09-21,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-4-2.xml
TIBCO EBX® Add-ons,5.5.0,3934,3147,,2022-10-04,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-5-0.xml
TIBCO EBX® Add-ons,5.5.1,3934,3147,,2022-11-11,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-5-1.xml
TIBCO EBX® Add-ons,5.6.0,3935,3148,,2022-11-17,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-6-0.xml
TIBCO EBX® Add-ons,5.6.1,3935,3148,,2023-02-22,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-6-1.xml
TIBCO EBX® Add-ons,5.6.2,3935,3148,,2023-05-11,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-6-2.xml
TIBCO EBX® Add-ons,5.6.3,3955,3164,,2023-07-17,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-6-3.xml
TIBCO EBX® Add-ons,5.6.4,3955,3164,,2023-08-22,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-5-6-4.xml
TIBCO EBX® Add-ons,6.1.0,3861,3088,,2023-04-03,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-1-0.xml
TIBCO EBX® Add-ons,6.1.1,3891,3112,,2023-07-17,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-1-1.xml
TIBCO EBX® Add-ons,6.1.2,3914,3131,,2023-09-13,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-1-2.xml
TIBCO EBX® Add-ons,6.1.3,3932,3145,,2023-12-11,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-1-3.xml
TIBCO EBX® Add-ons,6.1.4,3932,3145,,2024-06-13,2024,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-1-4.xml
TIBCO EBX® Add-ons,6.1.5,3932,3145,,2025-07-09,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-1-5.xml
TIBCO EBX® Add-ons,6.2.0,3938,3150,,2024-06-26,2024,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-2-0.xml
TIBCO EBX® Add-ons,6.2.1,3950,3160,,2025-03-26,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-2-1.xml
TIBCO EBX® Add-ons,6.2.2,3966,3172,,2025-09-05,2025,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-ebx-add-ons-6-2-2.xml
TIBCO® Data Virtualization,8.4.0,9175,7340,,2021-04-27,2021,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-4-0.xml
TIBCO® Data Virtualization,8.4.1,4839,3871,,2022-01-12,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-4-1.xml
TIBCO® Data Virtualization,8.4.3,4839,3871,,2023-03-16,2023,Current,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-4-3.xml
TIBCO® Data Virtualization,8.5.0,4601,3680,,2021-11-17,2021,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-0.xml
TIBCO® Data Virtualization,8.5.1,4601,3680,,2022-03-16,2022,Legacy,https://docs.tibco.com/ftp_portal/coveo/tibco-data-virtualization-8-5-1.xml
