file_path,table_index,row_count,col_count,categories,high_risk,near_heading,other_block_tags,content_preview
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/error-codes.htm,1,6,5,MULTI_PARAGRAPH,,Error Codes,,Error Code and Error Message Role Category Description Resolution TIBCO-BW-PALETTE-AMAZONCS- 500002 IOException occurred
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/getconnection.htm,1,4,3,LIST_IN_CELL,,General,,Field Module Property? Description Name No Name to be displayed as a label for the activity in the process Amazon Connec
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/getconnection.htm,2,2,3,SIMPLE,,Description,,Field Module Property? Description Description No Description of the GetConnection activity
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/getconnection.htm,3,9,3,SIMPLE,,Input,,Input Item Data Type Description key String AccessKeyID of external temporary credentials. secret String SecretAceesKey 
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/getconnection.htm,4,2,3,SIMPLE,,Output,,Output Item Data Type Description AWSClientAccessor Object AWS Service Client Object for the selected Service
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/getconnection.htm,5,4,3,MULTI_PARAGRAPH,,Fault,,Error Schema Element Data Type Description Amazon CS Plugin Exception Complex Any exception created by TIBCO BusinessWor
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/importing-sample-projects.htm,1,3,2,SIMPLE,,Importing Sample Projects,,Platform Step Microsoft Windows Click Start > All Programs > TIBCO > TIBCO_HOME > TIBCO Business Studio <version> > Stud
pub/bwplugin-cawscs/6.1.1/doc/html/users-guide/log-levels.htm,1,6,2,SIMPLE,,Log Levels,,Log Level Description Info Indicates normal plug-in operations. No action is needed. A tracing message tagged with Info 
pub/bwpdk/6.3.1/doc/html/developers-guide/activitynameasynchronousactivity.htm,1,13,2,MERGED_CELLS|MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,[ActivityName]AsynchronousActivity,,Methods Description public void init() Use this method to initialize the activity. This is a BusinessWorks 6 life-cycle 
pub/bwpdk/6.3.1/doc/html/developers-guide/activitynameeventsource.htm,1,8,2,MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,[ActivityName]EventSource,,"Methods Description public synchronized void destroy() Use this method to release or clean resources held by a source, w"
pub/bwpdk/6.3.1/doc/html/developers-guide/activitynamegeneraladvancedcustomizedsection.htm,1,4,2,SIMPLE,,[ActivityName]General/Advanced/ customized Section,,Methods Description protected Class <?> getModelClass() Use this method to specify a representation of a model object. T
pub/bwpdk/6.3.1/doc/html/developers-guide/activitynameschema.htm,1,5,2,NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,[ActivityName]Schema,,Methods Description public static XSDElementDeclaration getInputType() Use this method to get the input type. public sta
pub/bwpdk/6.3.1/doc/html/developers-guide/activitynamesignature.htm,1,7,2,NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,[ActivityName]Signature,,Methods Description public boolean hasInput() Returns a value of false when an activity has no input. This is a Business
pub/bwpdk/6.3.1/doc/html/developers-guide/activitynamesynchronousactivity.htm,1,9,2,NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,[ActivityName]SynchronousActivity,,Methods Description public void init() Use this method to initialize the activity. This is a BusinessWorks 6 life-cycle 
pub/bwpdk/6.3.1/doc/html/developers-guide/adding-and-configuring-activities.htm,1,10,2,IMAGE_IN_CELL|LIST_IN_CELL|MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Adding and Configuring Activities,,Attributes Description Name Name of the activity. Type Type of the attribute. The following attribute types are supporte
pub/bwpdk/6.3.1/doc/html/developers-guide/design-time-bundle.htm,1,6,2,LIST_IN_CELL|MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Design-Time Bundle,,Folders and Files Description src Contains the source code of the design-time configurations. A palette package is creat
pub/bwpdk/6.3.1/doc/html/developers-guide/general-problems.htm,1,9,2,CODE_IN_CELL|LIST_IN_CELL|MULTI_PARAGRAPH,,General Problems,,Scenarios Reason/Workaround A refresh error occasionally occurs when generating the plug-in bundles because the project 
pub/bwpdk/6.3.1/doc/html/developers-guide/migration-problems.htm,1,3,2,CODE_IN_CELL|LIST_IN_CELL|MULTI_PARAGRAPH,,Migration Problems,,Scenarios Reason/Workaround The Runtime plug-in displays the following compilation errors: JAXBContext cannot be resolve
pub/bwpdk/6.3.1/doc/html/developers-guide/model-bundle.htm,1,7,2,SIMPLE,,Model Bundle,,Folders and Files Description src Contains the source code of the data model. Use the interface and corresponding implem
pub/bwpdk/6.3.1/doc/html/developers-guide/palettename.htm,1,4,2,SIMPLE,,[PaletteName],,Methods Description public void start() This method is called when the design-time bundle is initialized by Eclipse. Thi
pub/bwpdk/6.3.1/doc/html/developers-guide/palettenameexceptionsschema.htm,1,4,2,SIMPLE,,[PaletteName]ExceptionsSchema,,Methods Description protected InputStream getSchemaAsInputStream() Use this method to get the input stream of the fault 
pub/bwpdk/6.3.1/doc/html/developers-guide/runtime-bundle.htm,1,5,2,LIST_IN_CELL|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Runtime Bundle,,Folders and Files Description src Contains the source code to implement the business logic of each activity. The runtime
pub/bwpdk/6.3.1/doc/html/installation/installation-modes.htm,1,4,3,SIMPLE,,Installation Modes and Procedures,,"Installation Mode Description Reference GUI In GUI mode, the installer contains panels where you can select a product, p"
pub/bwpdk/6.3.1/doc/html/installation/installation-troubleshooting.htm,1,4,2,SIMPLE,,Troubleshooting Installation,,Platform Location Microsoft Windows C:\Users\ username \.TIBCO\ install_timestamp Linux user_home_dir /.TIBCO/ install_t
pub/bwpdk/6.3.1/doc/html/installation/plugin-adding-to-bwce.htm,1,3,2,SIMPLE,,Adding the Plug-in to TIBCO BusinessWorks™ Container Edition,,"Platform Reference Cloud Foundry platform ""The TIBCO BusinessWorks™ Container Edition Buildpack"" Docker or Docker-based "
pub/bwpdk/6.3.1/doc/html/installation/plugin-installation-components.htm,1,3,2,MULTI_PARAGRAPH|NOTE_OR_ADMONITION,HIGH_RISK — confirmed silent content loss,Installation Components and Profiles,,Component Description TIBCO ActiveMatrix BusinessWorks™ Plug-in Development Kit Design This component includes the palet
pub/bwpdk/6.3.1/doc/html/installation/plugin-installation-environment.htm,1,4,2,SIMPLE,,Installation Environment,,Property Description Directory Identifies the directory where the product is installed. TIBCO_HOME It is the top-level i
pub/bwpdk/6.3.1/doc/html/installation/plugin-installation-requirements.htm,1,4,2,SIMPLE,,Installation Account and Permission Requirements,,Platform Account Privileges Microsoft Windows Only users with administrator privileges can install the plug-in. If you d
pub/bwpdk/6.3.1/doc/html/installation/plugin-installation-requirements.htm,2,2,2,MULTI_PARAGRAPH,,Software Requirements,,Software Description TIBCO ActiveMatrix BusinessWorks™ Required. ActiveMatrix BusinessWorks supports your integration pr
pub/bwpdk/6.3.1/doc/html/installation/plugin-installation-update-sites.htm,1,4,3,SIMPLE,,Installing by Using an Update Site,,Installation method Description Reference Install from the public update site You can install the plug-in from within TI
